"id[String]","name[String]","commonTemplate[Asset Reference]","rareTemplate[Asset Reference]","epicTemplate[Asset Reference]","legendaryTemplate[Asset Reference]"
"Raptor","Ravenous Raptor","BD84FA8BA32E1756","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton","The Undead","36BD0FF5467FA6BA","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton2","The Undead","A9E7909D60FE510F","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton3","The Undead","3FD2BB867E1418C3","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton4","The Undead","D871150C0ADC5572","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Dragon","Dragon Whelp","16937C6E2358EB29","5B7352565CB1AA62","9DEC613DC5BBBF0E","0BADBADBADBADBAD"
"Spider","Spider","85256291B39175CF","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Bandit","Thieving Rascal","2CA2A524793B807A","638586EE2C656754","409487DA1DBEFF27","6563AC4AAB3D661F"
"MinionA","The Damned","910ECDCECC2C79EE","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"MinionB","The Blessed","55FD3D153F3F8710","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
